"","DecisionM","DecisionF","LikeM","LikeF","PartnerYesM","PartnerYesF","AgeM","AgeF","RaceM","RaceF","AttractiveM","AttractiveF","SincereM","SincereF","IntelligentM","IntelligentF","FunM","FunF","AmbitiousM","AmbitiousF","SharedInterestsM","SharedInterestsF","DecisionMale","DecisionFemale"
"219",1,0,8,7,5,8,28,27,"Latino","Caucasian",8,7,10,5,9,5,8,3,5,3,3,5,"Yes","No"
"220",0,0,4,5,3,1,26,29,"Asian","Caucasian",4,7,5,7,6,9,5,3,5,9,4,0,"No","No"
"221",1,1,6,10,6,9,22,22,"Caucasian","Black",5,9,7,9,8,10,6,10,6,9,7,NA,"Yes","Yes"
"222",1,0,7,5,1,2,23,22,"Other","Asian",10,5,7,6,8,9,7,8,8,8,5,5,"Yes","No"
"223",1,0,7,5,6,1,25,29,"Caucasian","Caucasian",8,5,7,9,7,10,7,5,5,9,5,5,"Yes","No"
"224",1,0,6,3,4,5,30,23,"Asian","Caucasian",6,2,6,7,5,10,6,2,5,10,4,2,"Yes","No"
"225",1,0,8,5,7,5,29,27,"Asian","Asian",8,7,9,7,7,8,8,8,6,8,7,3,"Yes","No"
"226",1,0,4,5,4,1,27,29,"Asian","Caucasian",5,3,5,10,5,10,4,3,5,10,4,0,"Yes","No"
"227",0,1,9,9,10,7,33,27,"Caucasian","Caucasian",5,9,10,9,8,9,8,9,7,9,7,9,"No","Yes"
"228",0,0,5,5,6,5,27,24,"Other","Asian",5,5,5,7,7,7,6,6,6,7,7,7,"No","No"
"229",1,0,7,1,4,1,33,26,"Asian","Asian",8,2,6,10,7,5,6,1,7,5,4,2,"Yes","No"
"230",1,0,6,5,3,5,23,29,"Asian","Asian",5,6,6,8,6,8,5,7,7,9,5,3,"Yes","No"
"231",0,1,5,7,1,1,33,55,"Asian","Asian",5,8,9,7,9,8,5,8,4,8,2,6,"No","Yes"
"232",0,0,8,5,3,3,23,29,"Caucasian","Asian",5,5,NA,5,NA,3,NA,4,9,1,5,2,"No","No"
"233",1,0,7,6,6,7,23,27,"Caucasian","Latino",5,6,8,8,7,7,7,3,8,3,5,6,"Yes","No"
"234",0,0,6,6,4,4,30,25,"Caucasian","Caucasian",6,6,6,7,7,7,6,6,6,8,6,5,"No","No"
"235",0,0,8,3,8,6,28,27,"Caucasian","Caucasian",9,3,10,6,10,7,10,5,8,4,5,1,"No","No"
"236",1,0,7,5,6,10,31,25,"Asian","Latino",7,2,5,10,9,10,8,7,9,10,NA,1,"Yes","No"
"237",1,0,9,5,6,4,29,27,"Black","Latino",10,5,10,6,10,6,10,4,9,NA,8,6,"Yes","No"
"238",1,0,9,6,8,NA,32,26,"Latino","Caucasian",8,8,8,9,8,8,8,6,8,7,6,7,"Yes","No"
"239",1,0,8,7,6,5,24,30,"Asian","Black",7,4,6,10,7,9,7,5,7,7,5,5,"Yes","No"
"240",1,1,8,7,5,7,29,29,"Asian","Asian",8,5,8,5,8,5,8,8,8,5,8,5,"Yes","Yes"
"241",1,1,7,7,8,7,28,30,"Caucasian","Asian",6,7,8,7,9,7,7,7,8,7,6,6,"Yes","Yes"
"242",1,0,7,6,6,7,29,25,"Caucasian","Other",8,3,7,8,7,8,6,4,6,8,8,8,"Yes","No"
"243",0,1,5,NA,5,NA,29,26,"Latino","Caucasian",6,5,6,7,6,7,6,7,6,7,6,NA,"No","Yes"
"244",0,0,10,5,2,5,30,24,"Other","Caucasian",10,7,10,6,10,8,10,5,10,7,1,1,"No","No"
"245",0,1,6,7,2,5,20,24,"Asian","Caucasian",9,9,8,10,9,8,8,10,NA,9,5,8,"No","Yes"
"246",0,1,6,10,6,8,30,34,"Caucasian","Asian",8,10,8,9,9,10,6,10,9,10,5,9,"No","Yes"
"247",1,0,7,6,6,2,32,25,"Other","Asian",7,4,7,4,6,8,5,6,5,7,5,3,"Yes","No"
"248",1,0,9,8,10,9,26,24,"Asian","Caucasian",9,6,8,9,8,8,8,8,8,10,8,6,"Yes","No"
"249",1,0,7,6,6,5,25,26,"Caucasian","Caucasian",6,5,8,8,5,8,6,7,5,7,7,6,"Yes","No"
"250",1,0,8,6,8,5,23,23,"Caucasian","Asian",8,6,10,7,10,8,8,7,7,9,7,6,"Yes","No"
"251",0,0,7,5,3,5,27,26,"Asian","Caucasian",5,5,8,5,9,4,6,2,8,8,6,1,"No","No"
"252",0,0,2,3,5,3,24,25,"Asian","Caucasian",6,5,6,8,7,10,4,3,4,8,6,3,"No","No"
"253",1,1,8,6,5,7,24,25,"Asian","Black",7,8,9,7,9,8,7,8,9,7,7,6,"Yes","Yes"
"254",1,0,7,7,8,5,36,26,"Asian","Caucasian",7,7,9,7,8,7,8,6,8,7,6,5,"Yes","No"
"255",0,1,5,9,1,1,25,26,"Asian","Latino",5,4,10,3,10,9,10,4,10,9,5,5,"No","Yes"
"256",0,0,6,6,2,4,26,24,"Asian","Caucasian",6,6,7,9,6,8,7,4,NA,9,5,6,"No","No"
"257",0,0,7,4,NA,3,26,22,"Caucasian","Asian",4,5,10,7,9,5,5,4,NA,6,2,3,"No","No"
"258",1,1,8,7,7,7,24,23,"Other","Asian",8,5,9,5,8,8,8,7,9,6,7,6,"Yes","Yes"
"259",1,1,10,8,10,10,23,27,"Caucasian","Asian",9,10,7,10,9,10,8,9,8,5,6,6,"Yes","Yes"
"260",0,0,3,4,6,5,29,22,"Caucasian","Asian",6,5,9,4,9,6,6,6,8,5,7,4,"No","No"
"261",0,0,6,3,1,3,22,24,"Asian","Other",5,5,7,5,7,8,7,6,4,8,2,3,"No","No"
"262",1,1,6,8,6,6,32,26,"Caucasian","Caucasian",7,8,7,9,6,9,6,10,6,10,6,8,"Yes","Yes"
"263",1,1,8,8,10,9,22,22,"Caucasian","Caucasian",9,6,6,4,10,8,9,10,8,7,8,8,"Yes","Yes"
"264",0,1,6,6,6,5,24,25,"Caucasian","Asian",7,4,7,9,7,4,8,7,5,8,5,4,"No","Yes"
"265",1,0,6,5,5,7,23,30,"Asian","Latino",6,4,7,9,6,8,8,6,5,7,4,2,"Yes","No"
"266",1,0,8,5,8,5,23,23,"Asian","Caucasian",7,7,10,9,6,9,7,7,6,10,0,2,"Yes","No"
"267",0,0,7,5,5,5,24,26,"Asian","Latino",8,7,8,9,8,7,8,7,8,6,5,NA,"No","No"
"268",1,1,7,7,8,5,23,27,"Asian","Asian",5,5,8,6,7,5,7,5,6,5,6,6,"Yes","Yes"
"269",1,0,9,3,8,1,24,29,"Caucasian","Latino",7,1,9,5,8,5,10,4,6,5,5,3,"Yes","No"
"270",1,1,8,5,8,7,30,23,"Caucasian","Caucasian",8,7,7,5,7,7,9,7,6,7,6,9,"Yes","Yes"
"271",0,1,6,6,6,7,30,23,"Caucasian","Caucasian",6,7,6,8,7,9,8,5,10,7,1,5,"No","Yes"
"272",0,0,7,6,3,5,30,28,"Caucasian","Other",2,7,10,7,8,7,10,5,2,5,4,5,"No","No"
"273",1,0,8,5,5,5,28,NA,"Caucasian","Caucasian",8,7,8,9,6,9,7,6,7,8,6,7,"Yes","No"
"274",0,0,6,6,3,8,30,26,"Caucasian","Caucasian",6,6,7,8,7,8,7,6,4,8,6,5,"No","No"
"275",1,0,7,4,5,3,27,28,"Black","Asian",5,5,7,5,8,6,7,3,8,5,7,3,"Yes","No"
"276",1,1,8,7,7,5,25,23,"Caucasian","Caucasian",7,7,NA,7,5,8,5,7,5,7,4,7,"Yes","Yes"
